,Addresses,Postcode
0,L.I. Brandes Allé 10, 1956 Frederiksberg
1,Lundtoftegade 42, 2200 København
2,Guldborgvej 21, 2000 Frederiksberg
3,Kapelvej 4, 2200 København
4,Nordre Sti 4, 1870 Frederiksberg
5,Nyelandsvej 25B, 2000 Frederiksberg
6,Dronning Olgas Vej 30, 2000 Frederiksberg
7,Husumgade 29, 2200 København
8,Duevej 22, 2000 Frederiksberg
9,Bille Brahes Vej 10, 1963 Frederiksberg
10,Hans Tavsens Gade 40, 2200 København
11,Aksel Møllers Have 7, 2000 Frederiksberg
12,Rolighedsvej 903, 1958 Frederiksberg
13,Stefansgade 73, 2200 København
14,Rathsacksvej 14, 1862 Frederiksberg
